station_id,beach_type,water_body_type,water_body_class,ab411_beach,registry_station,match_m,source,assigned_on
CABEACH_WQX-0,open_coast,Open Coast,Saltwater,No,0,0.0,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-1000,open_coast,Open Coast,Saltwater,No,1000,0.7,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-10000,open_coast,Open Coast,Saltwater,No,10000,0.0,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-1100,open_coast,Open Coast,Saltwater,No,1100,0.5,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-11000,open_coast,Open Coast,Saltwater,No,11000,0.7,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-12N,open_coast,Open Coast,Saltwater,No,12N,0.0,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-13000,open_coast,Open Coast,Saltwater,No,13000,0.1,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-14000,open_coast,Open Coast,Saltwater,No,14000,0.4,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-15000,open_coast,Open Coast,Saltwater,No,15000,0.3,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-15N,open_coast,Open Coast,Saltwater,No,15N,0.0,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-15S,open_coast,Open Coast,Saltwater,No,15S,0.0,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-17000,open_coast,Open Coast,Saltwater,No,17000,0.4,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-18000,open_coast,Open Coast,Saltwater,No,18000,0.3,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-19000,open_coast,Open Coast,Saltwater,No,19000,0.7,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
CABEACH_WQX-20000,open_coast,Open Coast,Saltwater,No,20000,0.6,data.ca.gov CKAN resource 98e628ff-d012-4982-ad32-b9f9ad8ab524 (CA beach station registry),2026-09-17
