station_id,station_name,state,reason,decided_on
21NYBCH-NY120695-01,BENNETT BEACH,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY129995-02,WRIGHT PARK WEST - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY163689-01,SUNSET BAY BEACH CLUB - LEFT,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY163689-03,SUNSET BAY BEACH CLUB - RIGHT,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY169186-01,HAMLIN BEACH STATE PARK - H3A,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY238390-01,HAMLIN BEACH STATE PARK - H3,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY304236-01,SOUTHWICK BEACH STATE PARK - SO-P1,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY346072-01,KRULL PARK (OLCOTT BEACH) - SHALLOW,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY346072-02,KRULL PARK (OLCOTT BEACH) - DEEP,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY355904-02,POINT GRATIOT BEACH EAST - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY412748-02,DURAND BEACH - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY459293-01,SELKIRK SHORES STATE PARK BEACH - SOUTH - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY501691-01,ONTARIO BEACH - West,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY501691-03,ONTARIO BEACH - East,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY543959-01,FAIR HAVEN BEACH STATE PARK - WEST,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY569623-01,HAMBURG BATHING BEACH,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY626819-01,WOODLAWN BEACH STATE PARK - B-3,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY635615-02,WRIGHT PARK EAST - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY729494-02,POINT GRATIOT BEACH WEST - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY753343-01,BRENNAN'S BEACH,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY858623-01,HAMLIN BEACH STATE PARK - H4A,NY,Great Lakes excluded from the California scope amendment,2026-09-17
21NYBCH-NY992944-02,SELKIRK SHORES STATE PARK BEACH - CENTER,NY,Great Lakes excluded from the California scope amendment,2026-09-17
