station_id,study_scope,scope_basis,programme,site_type,organization,state,site_cluster
CABEACH_WQX-0,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-0
CABEACH_WQX-1000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-1000
CABEACH_WQX-10000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-10000
CABEACH_WQX-1100,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-1100
CABEACH_WQX-11000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-11000
CABEACH_WQX-12N,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-12N
CABEACH_WQX-13000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-13000
CABEACH_WQX-14000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-14000
CABEACH_WQX-15000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-15000
CABEACH_WQX-15N,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-15N
CABEACH_WQX-15S,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-15S
CABEACH_WQX-17000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-17000
CABEACH_WQX-18000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-18000
CABEACH_WQX-19000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-19000
CABEACH_WQX-20000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-20000
